tick,interval,received,coalesced,ring_overrun,priority_full,tx_errors,can_errors,can_error_code,loops,loop_gap_ms,enabled_mask,target1,target2,target_gap1_ms,target_gap2_ms,iq1,iq2,position1,position2,velocity1,velocity2,type2_1,type2_2,tx_complete
283457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2962
284457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
285457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2972
286457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
287457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
288457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2970
289457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2975
290457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2974
291457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2967
292457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2977
293457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
294457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2967
295457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
296457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2975
297457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2966
298457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2966
299457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2970
300457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2972
301457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2962
302457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2979
303457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2970
304457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2963
305457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2974
306457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
307457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2967
308457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2976
309457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
310457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
311457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2976
312457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
313457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2977
314457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2972
315457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2974
316457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
317457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
318457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2972
319457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2959
320457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2980
321457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2972
322457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2978
323457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
324457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2961
325457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
326457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2970
327457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
328457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
329457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
330457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2975
331457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2967
332457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
333457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
334457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2975
335457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2974
336457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
337457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
338457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2975
339457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2973
340457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2961
341457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
342457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2978
343457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
344457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2976
345457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
346457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
347457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
348457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2965
349457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2978
350457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2975
351457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
352457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2964
353457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2976
354457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2966
355457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
356457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2977
357457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2962
358457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2964
359457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2959
360457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
361457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2972
362457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2972
363457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2966
364457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2967
365457,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
366457,1000,11,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2974
367457,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
368457,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
369457,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
370457,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2966
