tick,interval,received,coalesced,ring_overrun,priority_full,tx_errors,can_errors,can_error_code,loops,loop_gap_ms,enabled_mask,target1,target2,target_gap1_ms,target_gap2_ms,iq1,iq2,position1,position2,velocity1,velocity2,type2_1,type2_2,tx_complete
2443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,16,16,3011
3443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2968
4443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2969
5443,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2967
6443,1000,4,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2971
7443,1000,4,2,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2974
8444,1001,3,1,0,0,0,0,0,496,11,0,0,0,0,0,496,496,496,496,496,496,0,0,2966
9445,1001,4,0,0,0,0,0,0,496,11,0,0,0,0,0,496,496,496,496,496,496,0,0,2943
10445,1000,3,2,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2962
11446,1001,8,0,0,0,0,0,0,496,11,0,0,0,0,0,496,496,496,496,496,496,0,0,2964
12446,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2993
13446,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2989
14446,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2989
15446,1000,50,0,0,0,0,0,0,500,2,0,0,0,0,0,500,500,500,500,500,500,0,0,2989
