tick,interval,received,coalesced,ring_overrun,priority_full,tx_errors,can_errors,can_error_code,loops,loop_gap_ms,enabled_mask,target1,target2,target_gap1_ms,target_gap2_ms,iq1,iq2,position1,position2,velocity1,velocity2,type2_1,type2_2,tx_complete
2453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,16,16,617
3453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,562
4453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,557
5453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,556
6453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,566
7453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,561
8453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,564
9453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,564
10453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,561
11453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,560
12453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,556
13453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,564
14453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,558
15453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,561
16453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,559
17453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,560
18453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,562
19453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,552
20453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,561
21453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,557
22453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,554
23453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,563
24453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,561
25453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,557
26453,1000,22,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,2,2,560
27453,1000,89,0,0,0,0,0,0,500,2,3,467,458,2,2,6,8,6,8,6,8,468,459,858
28453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,893
29453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,887
30453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,884
31453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,874
32453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,894
33453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,889
34453,1000,89,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,896
35453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,880
36453,1000,91,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,881
37453,1000,90,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,887
38453,1000,93,0,0,0,0,0,0,500,2,3,500,500,2,2,0,0,0,0,0,0,500,500,890
39453,1000,9,0,0,0,0,0,0,500,2,0,51,54,2,2,88,88,88,88,88,88,52,55,598
40453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,561
41453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,558
42453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,560
43453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,565
44453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,562
45453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,558
46453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,559
47453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,555
48453,1000,0,0,0,0,0,0,0,500,2,0,0,0,0,0,100,100,100,100,100,100,0,0,553
