tick_ms,position_mm,velocity_mm_s,target_mm_s,internal_model_mm_s,current_command_A,unsaturated_current_A,saturated
7.354200000000000000e+04,2.497539999999999907e+02,-0.000000000000000000e+00,4.000000000000000000e+02,1.568399999999999928e+01,1.000000000000000000e+01,1.599900000000000055e+01,1.000000000000000000e+00
7.354400000000000000e+04,2.497539999999999907e+02,-0.000000000000000000e+00,4.000000000000000000e+02,3.075300000000000011e+01,1.000000000000000000e+01,2.376300000000000168e+01,1.000000000000000000e+00
7.354600000000000000e+04,2.497750000000000057e+02,5.729000000000000092e+00,4.000000000000000000e+02,4.523199999999999932e+01,1.000000000000000000e+01,2.824500000000000099e+01,1.000000000000000000e+00
7.354800000000000000e+04,2.498309999999999889e+02,2.149599999999999866e+01,4.000000000000000000e+02,5.914200000000000301e+01,1.000000000000000000e+01,2.722200000000000131e+01,1.000000000000000000e+00
7.355000000000000000e+04,2.499490000000000123e+02,4.720799999999999841e+01,4.000000000000000000e+02,7.250799999999999557e+01,1.000000000000000000e+01,2.075499999999999901e+01,1.000000000000000000e+00
7.355200000000000000e+04,2.500850000000000080e+02,6.160000000000000142e+01,4.000000000000000000e+02,8.534900000000000375e+01,1.000000000000000000e+01,1.991000000000000014e+01,1.000000000000000000e+00
7.355400000000000000e+04,2.502620000000000005e+02,8.460800000000000409e+01,4.000000000000000000e+02,9.768600000000000705e+01,1.000000000000000000e+01,1.433300000000000018e+01,1.000000000000000000e+00
7.355600000000000000e+04,2.506020000000000039e+02,1.158209999999999980e+02,4.000000000000000000e+02,1.095400000000000063e+02,4.259000000000000341e+00,4.259000000000000341e+00,0.000000000000000000e+00
7.355800000000000000e+04,2.508820000000000050e+02,1.279210000000000065e+02,4.000000000000000000e+02,1.209290000000000020e+02,3.641999999999999904e+00,3.641999999999999904e+00,0.000000000000000000e+00
7.356000000000000000e+04,2.511690000000000111e+02,1.410289999999999964e+02,4.000000000000000000e+02,1.318720000000000141e+02,2.254999999999999893e+00,2.254999999999999893e+00,0.000000000000000000e+00
7.356200000000000000e+04,2.514490000000000123e+02,1.445579999999999927e+02,4.000000000000000000e+02,1.423849999999999909e+02,5.588000000000000078e+00,5.588000000000000078e+00,0.000000000000000000e+00
7.356400000000000000e+04,2.517489999999999952e+02,1.426790000000000020e+02,4.000000000000000000e+02,1.524869999999999948e+02,1.000000000000000000e+01,1.167099999999999937e+01,1.000000000000000000e+00
7.356600000000000000e+04,2.520660000000000025e+02,1.532669999999999959e+02,4.000000000000000000e+02,1.621920000000000073e+02,1.000000000000000000e+01,1.124799999999999933e+01,1.000000000000000000e+00
7.356800000000000000e+04,2.524099999999999966e+02,1.699039999999999964e+02,4.000000000000000000e+02,1.715159999999999911e+02,7.498000000000000220e+00,7.498000000000000220e+00,0.000000000000000000e+00
7.357000000000000000e+04,2.528089999999999975e+02,1.942419999999999902e+02,4.000000000000000000e+02,1.804749999999999943e+02,-5.600000000000000533e-01,-5.600000000000000533e-01,0.000000000000000000e+00
7.357200000000000000e+04,2.532340000000000089e+02,2.098249999999999886e+02,4.000000000000000000e+02,1.890829999999999984e+02,-4.578999999999999737e+00,-4.578999999999999737e+00,0.000000000000000000e+00
7.357400000000000000e+04,2.536599999999999966e+02,2.106500000000000057e+02,4.000000000000000000e+02,1.973530000000000086e+02,-1.241000000000000103e+00,-1.241000000000000103e+00,0.000000000000000000e+00
7.357600000000000000e+04,2.540649999999999977e+02,2.014379999999999882e+02,4.000000000000000000e+02,2.052990000000000066e+02,7.318999999999999950e+00,7.318999999999999950e+00,0.000000000000000000e+00
7.357800000000000000e+04,2.544509999999999934e+02,1.918580000000000041e+02,4.000000000000000000e+02,2.129329999999999927e+02,1.000000000000000000e+01,1.626300000000000168e+01,1.000000000000000000e+00
7.358000000000000000e+04,2.548420000000000130e+02,1.960749999999999886e+02,4.000000000000000000e+02,2.202680000000000007e+02,1.000000000000000000e+01,1.798400000000000176e+01,1.000000000000000000e+00
7.358200000000000000e+04,2.552959999999999923e+02,2.120250000000000057e+02,4.000000000000000000e+02,2.273160000000000025e+02,1.000000000000000000e+01,1.345700000000000074e+01,1.000000000000000000e+00
7.358400000000000000e+04,2.557870000000000061e+02,2.376920000000000073e+02,4.000000000000000000e+02,2.340869999999999891e+02,3.750999999999999890e+00,3.750999999999999890e+00,0.000000000000000000e+00
7.358600000000000000e+04,2.563050000000000068e+02,2.578120000000000118e+02,4.000000000000000000e+02,2.405920000000000130e+02,-3.483000000000000096e+00,-3.483000000000000096e+00,0.000000000000000000e+00
7.358800000000000000e+04,2.568489999999999895e+02,2.665670000000000073e+02,4.000000000000000000e+02,2.468429999999999893e+02,-5.230000000000000426e+00,-5.230000000000000426e+00,0.000000000000000000e+00
7.359000000000000000e+04,2.573679999999999950e+02,2.660620000000000118e+02,4.000000000000000000e+02,2.528480000000000132e+02,-2.338999999999999968e+00,-2.338999999999999968e+00,0.000000000000000000e+00
7.359200000000000000e+04,2.578759999999999764e+02,2.553369999999999891e+02,4.000000000000000000e+02,2.586179999999999950e+02,5.894000000000000128e+00,5.894000000000000128e+00,0.000000000000000000e+00
7.359400000000000000e+04,2.583650000000000091e+02,2.444290000000000020e+02,4.000000000000000000e+02,2.641619999999999777e+02,1.000000000000000000e+01,1.444699999999999918e+01,1.000000000000000000e+00
7.359600000000000000e+04,2.588620000000000232e+02,2.444290000000000020e+02,4.000000000000000000e+02,2.694879999999999995e+02,1.000000000000000000e+01,1.737600000000000122e+01,1.000000000000000000e+00
7.359800000000000000e+04,2.593980000000000246e+02,2.598290000000000077e+02,4.000000000000000000e+02,2.746050000000000182e+02,1.000000000000000000e+01,1.218800000000000061e+01,1.000000000000000000e+00
7.360000000000000000e+04,2.599759999999999991e+02,2.806829999999999927e+02,4.000000000000000000e+02,2.795219999999999914e+02,4.075000000000000178e+00,4.075000000000000178e+00,0.000000000000000000e+00
7.360200000000000000e+04,2.605969999999999800e+02,3.035079999999999814e+02,4.000000000000000000e+02,2.842459999999999809e+02,-5.426999999999999602e+00,-5.426999999999999602e+00,0.000000000000000000e+00
7.360400000000000000e+04,2.612139999999999986e+02,3.140500000000000114e+02,4.000000000000000000e+02,2.887850000000000250e+02,-9.028000000000000469e+00,-9.028000000000000469e+00,0.000000000000000000e+00
7.360600000000000000e+04,2.618319999999999936e+02,3.098790000000000191e+02,4.000000000000000000e+02,2.931460000000000150e+02,-5.193999999999999950e+00,-5.193999999999999950e+00,0.000000000000000000e+00
7.360800000000000000e+04,2.624089999999999918e+02,2.931039999999999850e+02,4.000000000000000000e+02,2.973360000000000127e+02,5.301000000000000156e+00,5.301000000000000156e+00,0.000000000000000000e+00
7.361000000000000000e+04,2.629619999999999891e+02,2.801789999999999736e+02,4.000000000000000000e+02,3.013609999999999900e+02,1.000000000000000000e+01,1.414199999999999946e+01,1.000000000000000000e+00
7.361200000000000000e+04,2.635210000000000150e+02,2.744499999999999886e+02,4.000000000000000000e+02,3.052289999999999850e+02,1.000000000000000000e+01,1.934100000000000108e+01,1.000000000000000000e+00
7.361400000000000000e+04,2.641019999999999754e+02,2.878790000000000191e+02,4.000000000000000000e+02,3.089449999999999932e+02,1.000000000000000000e+01,1.449499999999999922e+01,1.000000000000000000e+00
7.361600000000000000e+04,2.647169999999999845e+02,3.061669999999999732e+02,4.000000000000000000e+02,3.125149999999999864e+02,7.073999999999999844e+00,7.073999999999999844e+00,0.000000000000000000e+00
7.361800000000000000e+04,2.653990000000000009e+02,3.248210000000000264e+02,4.000000000000000000e+02,3.159460000000000264e+02,-7.560000000000000053e-01,-7.560000000000000053e-01,0.000000000000000000e+00
7.362000000000000000e+04,2.660819999999999936e+02,3.412749999999999773e+02,4.000000000000000000e+02,3.192409999999999854e+02,-7.844000000000000306e+00,-7.844000000000000306e+00,0.000000000000000000e+00
7.362200000000000000e+04,2.667850000000000250e+02,3.484710000000000036e+02,4.000000000000000000e+02,3.224080000000000155e+02,-1.000000000000000000e+01,-1.042099999999999937e+01,1.000000000000000000e+00
7.362400000000000000e+04,2.674479999999999791e+02,3.402669999999999959e+02,4.000000000000000000e+02,3.254510000000000218e+02,-5.163999999999999702e+00,-5.163999999999999702e+00,0.000000000000000000e+00
7.362600000000000000e+04,2.680969999999999800e+02,3.251419999999999959e+02,4.000000000000000000e+02,3.283740000000000236e+02,3.863999999999999879e+00,3.863999999999999879e+00,0.000000000000000000e+00
7.362800000000000000e+04,2.686890000000000214e+02,3.060289999999999964e+02,4.000000000000000000e+02,3.311820000000000164e+02,1.000000000000000000e+01,1.527699999999999925e+01,1.000000000000000000e+00
7.363000000000000000e+04,2.692909999999999968e+02,2.977789999999999964e+02,4.000000000000000000e+02,3.338809999999999718e+02,1.000000000000000000e+01,2.122200000000000131e+01,1.000000000000000000e+00
7.363200000000000000e+04,2.699110000000000014e+02,3.009870000000000232e+02,4.000000000000000000e+02,3.364730000000000132e+02,1.000000000000000000e+01,2.114499999999999957e+01,1.000000000000000000e+00
7.363400000000000000e+04,2.705620000000000118e+02,3.201000000000000227e+02,4.000000000000000000e+02,3.389639999999999986e+02,1.000000000000000000e+01,1.274200000000000088e+01,1.000000000000000000e+00
7.363600000000000000e+04,2.712540000000000191e+02,3.410919999999999845e+02,4.000000000000000000e+02,3.413570000000000277e+02,3.330000000000000071e+00,3.330000000000000071e+00,0.000000000000000000e+00
7.363800000000000000e+04,2.719789999999999850e+02,3.608919999999999959e+02,4.000000000000000000e+02,3.436569999999999823e+02,-5.810999999999999943e+00,-5.810999999999999943e+00,0.000000000000000000e+00
7.364000000000000000e+04,2.727409999999999854e+02,3.731290000000000191e+02,4.000000000000000000e+02,3.458659999999999854e+02,-1.000000000000000000e+01,-1.140199999999999925e+01,1.000000000000000000e+00
7.364200000000000000e+04,2.734909999999999854e+02,3.719830000000000041e+02,4.000000000000000000e+02,3.479889999999999759e+02,-1.000000000000000000e+01,-1.022899999999999920e+01,1.000000000000000000e+00
7.364400000000000000e+04,2.741940000000000168e+02,3.598829999999999814e+02,4.000000000000000000e+02,3.500280000000000200e+02,-3.419999999999999929e+00,-3.419999999999999929e+00,0.000000000000000000e+00
7.364600000000000000e+04,2.748489999999999895e+02,3.382500000000000000e+02,4.000000000000000000e+02,3.519870000000000232e+02,8.611000000000000654e+00,8.611000000000000654e+00,0.000000000000000000e+00
7.364800000000000000e+04,2.754879999999999995e+02,3.165710000000000264e+02,4.000000000000000000e+02,3.538700000000000045e+02,1.000000000000000000e+01,2.109499999999999886e+01,1.000000000000000000e+00
7.365000000000000000e+04,2.764440000000000168e+02,3.179460000000000264e+02,4.000000000000000000e+02,3.556789999999999736e+02,1.000000000000000000e+01,2.159799999999999898e+01,1.000000000000000000e+00
7.365200000000000000e+04,2.771320000000000050e+02,3.368750000000000000e+02,4.000000000000000000e+02,3.574169999999999732e+02,1.000000000000000000e+01,1.293299999999999983e+01,1.000000000000000000e+00
7.365400000000000000e+04,2.778629999999999995e+02,3.563539999999999850e+02,4.000000000000000000e+02,3.590860000000000127e+02,3.967000000000000082e+00,3.967000000000000082e+00,0.000000000000000000e+00
7.365600000000000000e+04,2.786109999999999900e+02,3.724870000000000232e+02,4.000000000000000000e+02,3.606909999999999741e+02,-3.567000000000000171e+00,-3.567000000000000171e+00,0.000000000000000000e+00
7.365800000000000000e+04,2.794049999999999727e+02,3.832130000000000223e+02,4.000000000000000000e+02,3.622320000000000277e+02,-8.637000000000000455e+00,-8.637000000000000455e+00,0.000000000000000000e+00
7.366000000000000000e+04,2.801519999999999868e+02,3.800500000000000114e+02,4.000000000000000000e+02,3.637130000000000223e+02,-6.711999999999999744e+00,-6.711999999999999744e+00,0.000000000000000000e+00
7.366200000000000000e+04,2.808809999999999718e+02,3.664379999999999882e+02,0.000000000000000000e+00,3.494519999999999982e+02,-1.000000000000000000e+01,-1.525600000000000023e+01,1.000000000000000000e+00
7.366400000000000000e+04,2.815500000000000114e+02,3.491580000000000155e+02,0.000000000000000000e+00,3.357490000000000236e+02,-1.000000000000000000e+01,-1.341699999999999982e+01,1.000000000000000000e+00
7.366600000000000000e+04,2.821990000000000123e+02,3.288539999999999850e+02,0.000000000000000000e+00,3.225849999999999795e+02,-9.753000000000000114e+00,-9.753000000000000114e+00,0.000000000000000000e+00
7.366800000000000000e+04,2.827880000000000109e+02,3.055249999999999773e+02,0.000000000000000000e+00,3.099359999999999786e+02,-4.227000000000000313e+00,-4.227000000000000313e+00,0.000000000000000000e+00
7.367000000000000000e+04,2.833149999999999977e+02,2.811879999999999882e+02,0.000000000000000000e+00,2.977830000000000155e+02,2.311999999999999833e+00,2.311999999999999833e+00,0.000000000000000000e+00
7.367200000000000000e+04,2.838229999999999791e+02,2.638620000000000232e+02,0.000000000000000000e+00,2.861070000000000277e+02,5.711999999999999744e+00,5.711999999999999744e+00,0.000000000000000000e+00
7.367400000000000000e+04,2.843589999999999804e+02,2.558420000000000130e+02,0.000000000000000000e+00,2.748879999999999768e+02,4.628000000000000114e+00,4.628000000000000114e+00,0.000000000000000000e+00
7.367600000000000000e+04,2.848829999999999814e+02,2.566669999999999732e+02,0.000000000000000000e+00,2.641100000000000136e+02,-9.050000000000000266e-01,-9.050000000000000266e-01,0.000000000000000000e+00
7.367800000000000000e+04,2.854010000000000105e+02,2.612040000000000077e+02,0.000000000000000000e+00,2.537539999999999907e+02,-8.409000000000000696e+00,-8.409000000000000696e+00,0.000000000000000000e+00
7.368000000000000000e+04,2.858999999999999773e+02,2.585000000000000000e+02,0.000000000000000000e+00,2.438040000000000020e+02,-1.000000000000000000e+01,-1.224000000000000021e+01,1.000000000000000000e+00
7.368200000000000000e+04,2.863840000000000146e+02,2.484170000000000016e+02,0.000000000000000000e+00,2.342439999999999998e+02,-1.000000000000000000e+01,-1.209600000000000009e+01,1.000000000000000000e+00
7.368400000000000000e+04,2.868179999999999836e+02,2.277920000000000016e+02,0.000000000000000000e+00,2.250600000000000023e+02,-6.294999999999999929e+00,-6.294999999999999929e+00,0.000000000000000000e+00
7.368600000000000000e+04,2.872119999999999891e+02,2.071670000000000016e+02,0.000000000000000000e+00,2.162350000000000136e+02,-1.409999999999999865e-01,-1.409999999999999865e-01,0.000000000000000000e+00
7.368800000000000000e+04,2.875710000000000264e+02,1.868170000000000073e+02,0.000000000000000000e+00,2.077560000000000002e+02,6.306000000000000050e+00,6.306000000000000050e+00,0.000000000000000000e+00
7.369000000000000000e+04,2.879169999999999732e+02,1.757709999999999866e+02,0.000000000000000000e+00,1.996100000000000136e+02,8.342000000000000526e+00,8.342000000000000526e+00,0.000000000000000000e+00
7.369200000000000000e+04,2.882799999999999727e+02,1.754039999999999964e+02,0.000000000000000000e+00,1.917829999999999870e+02,5.046999999999999709e+00,5.046999999999999709e+00,0.000000000000000000e+00
7.369400000000000000e+04,2.886689999999999827e+02,1.848000000000000114e+02,0.000000000000000000e+00,1.842630000000000052e+02,-3.337000000000000188e+00,-3.337000000000000188e+00,0.000000000000000000e+00
7.369600000000000000e+04,2.890659999999999741e+02,1.950670000000000073e+02,0.000000000000000000e+00,1.770380000000000109e+02,-1.000000000000000000e+01,-1.237599999999999945e+01,1.000000000000000000e+00
