f7_tick_ms,position_mm,measured_velocity_mm_s,applied_mpc_velocity_mm_s,dob_model_velocity_mm_s,controller_current_A,unsaturated_controller_current_A,saturated
8.445700000000000000e+04,5.197338867187500000e+02,-0.000000000000000000e+00,-8.250000000000000000e+02,-3.234870910644531250e+01,-1.000000000000000000e+01,-2.005835723876953125e+01,1.000000000000000000e+00
8.445800000000000000e+04,5.197335205078125000e+02,-0.000000000000000000e+00,-8.250000000000000000e+02,-6.342900848388671875e+01,-1.000000000000000000e+01,-2.322232437133789062e+01,1.000000000000000000e+00
8.446000000000000000e+04,5.197103881835937500e+02,-9.716666221618652344e+00,-8.250000000000000000e+02,-9.329063415527343750e+01,-1.000000000000000000e+01,-2.510003852844238281e+01,1.000000000000000000e+00
8.446200000000000000e+04,5.196408691406250000e+02,-3.254166412353515625e+01,-8.250000000000000000e+02,-1.219813690185546875e+02,-1.000000000000000000e+01,-2.529435539245605469e+01,1.000000000000000000e+00
8.446400000000000000e+04,5.195395507812500000e+02,-5.014166641235351562e+01,-8.250000000000000000e+02,-1.495471191406250000e+02,-1.000000000000000000e+01,-2.600755500793457031e+01,1.000000000000000000e+00
8.446600000000000000e+04,5.193874511718750000e+02,-7.315000152587890625e+01,-8.250000000000000000e+02,-1.760319976806640625e+02,-1.000000000000000000e+01,-2.596999931335449219e+01,1.000000000000000000e+00
8.446800000000000000e+04,5.191900634765625000e+02,-9.262916564941406250e+01,-8.250000000000000000e+02,-2.014783935546875000e+02,-1.000000000000000000e+01,-2.625679588317871094e+01,1.000000000000000000e+00
8.447000000000000000e+04,5.189688720703125000e+02,-1.117416687011718750e+02,-8.250000000000000000e+02,-2.259270172119140625e+02,-1.000000000000000000e+01,-2.649218368530273438e+01,1.000000000000000000e+00
8.447200000000000000e+04,5.186905517578125000e+02,-1.308999938964843750e+02,-8.250000000000000000e+02,-2.494170074462890625e+02,-1.000000000000000000e+01,-2.663042831420898438e+01,1.000000000000000000e+00
8.447400000000000000e+04,5.183740234375000000e+02,-1.565666656494140625e+02,-8.250000000000000000e+02,-2.719859313964843750e+02,-1.000000000000000000e+01,-2.590216827392578125e+01,1.000000000000000000e+00
8.447700000000000000e+04,5.180158081054687500e+02,-1.747166595458984375e+02,-8.250000000000000000e+02,-2.936699218750000000e+02,-1.000000000000000000e+01,-2.599081420898437500e+01,1.000000000000000000e+00
8.447800000000000000e+04,5.176069335937500000e+02,-1.976791687011718750e+02,-8.250000000000000000e+02,-3.145036621093750000e+02,-1.000000000000000000e+01,-2.542208480834960938e+01,1.000000000000000000e+00
8.448000000000000000e+04,5.172007446289062500e+02,-2.170208282470703125e+02,-8.250000000000000000e+02,-3.345205078125000000e+02,-1.000000000000000000e+01,-2.520969772338867188e+01,1.000000000000000000e+00
8.448200000000000000e+04,5.167388305664062500e+02,-2.289375000000000000e+02,-8.250000000000000000e+02,-3.537525024414062500e+02,-1.000000000000000000e+01,-2.581030464172363281e+01,1.000000000000000000e+00
8.448400000000000000e+04,5.162409667968750000e+02,-2.433750000000000000e+02,-8.250000000000000000e+02,-3.722304077148437500e+02,-1.000000000000000000e+01,-2.603444862365722656e+01,1.000000000000000000e+00
8.448600000000000000e+04,5.157247314453125000e+02,-2.584541625976562500e+02,-8.250000000000000000e+02,-3.899837646484375000e+02,-1.000000000000000000e+01,-2.611078643798828125e+01,1.000000000000000000e+00
8.448800000000000000e+04,5.151530151367187500e+02,-2.755958251953125000e+02,-8.250000000000000000e+02,-4.070410156250000000e+02,-1.000000000000000000e+01,-2.587239837646484375e+01,1.000000000000000000e+00
8.449000000000000000e+04,5.145662231445312500e+02,-2.910416870117187500e+02,-8.250000000000000000e+02,-4.234294433593750000e+02,-1.000000000000000000e+01,-2.577226066589355469e+01,1.000000000000000000e+00
8.449200000000000000e+04,5.139421386718750000e+02,-3.061208190917968750e+02,-8.250000000000000000e+02,-4.391752319335937500e+02,-1.000000000000000000e+01,-2.565328216552734375e+01,1.000000000000000000e+00
8.449400000000000000e+04,5.132929687500000000e+02,-3.185416870117187500e+02,-8.250000000000000000e+02,-4.543036499023437500e+02,-1.000000000000000000e+01,-2.579188537597656250e+01,1.000000000000000000e+00
8.449700000000000000e+04,5.126507568359375000e+02,-3.343083190917968750e+02,-8.250000000000000000e+02,-4.688388671875000000e+02,-1.000000000000000000e+01,-2.547130012512207031e+01,1.000000000000000000e+00
8.449800000000000000e+04,5.118685913085937500e+02,-3.457208251953125000e+02,-8.250000000000000000e+02,-4.828041381835937500e+02,-1.000000000000000000e+01,-2.561606788635253906e+01,1.000000000000000000e+00
8.450000000000000000e+04,5.112260742187500000e+02,-3.566291809082031250e+02,-8.250000000000000000e+02,-4.962218017578125000e+02,-1.000000000000000000e+01,-2.576623153686523438e+01,1.000000000000000000e+00
8.450200000000000000e+04,5.104586791992187500e+02,-3.697374877929687500e+02,-8.250000000000000000e+02,-5.091134033203125000e+02,-1.000000000000000000e+01,-2.560033607482910156e+01,1.000000000000000000e+00
8.450400000000000000e+04,5.097080688476562500e+02,-3.814708251953125000e+02,-8.250000000000000000e+02,-5.214995117187500000e+02,-1.000000000000000000e+01,-2.554885864257812500e+01,1.000000000000000000e+00
8.450600000000000000e+04,5.089205322265625000e+02,-3.935708312988281250e+02,-8.250000000000000000e+02,-5.333999633789062500e+02,-1.000000000000000000e+01,-2.540493965148925781e+01,1.000000000000000000e+00
8.450800000000000000e+04,5.080960693359375000e+02,-4.059916687011718750e+02,-8.250000000000000000e+02,-5.448337402343750000e+02,-1.000000000000000000e+01,-2.517609596252441406e+01,1.000000000000000000e+00
8.451000000000000000e+04,5.072605285644531250e+02,-4.172666625976562500e+02,-8.250000000000000000e+02,-5.558192138671875000e+02,-1.000000000000000000e+01,-2.503970336914062500e+01,1.000000000000000000e+00
8.451200000000000000e+04,5.064118957519531250e+02,-4.295041809082031250e+02,-8.250000000000000000e+02,-5.663739013671875000e+02,-1.000000000000000000e+01,-2.474489974975585938e+01,1.000000000000000000e+00
8.451400000000000000e+04,5.055307006835937500e+02,-4.402291564941406250e+02,-8.250000000000000000e+02,-5.765147705078125000e+02,-1.000000000000000000e+01,-2.458978843688964844e+01,1.000000000000000000e+00
8.451700000000000000e+04,5.046152648925781250e+02,-4.540250244140625000e+02,-8.250000000000000000e+02,-5.862579956054687500e+02,-1.000000000000000000e+01,-2.402719879150390625e+01,1.000000000000000000e+00
8.451800000000000000e+04,5.036622314453125000e+02,-4.645666809082031250e+02,-8.250000000000000000e+02,-5.956192016601562500e+02,-1.000000000000000000e+01,-2.381639289855957031e+01,1.000000000000000000e+00
8.452000000000000000e+04,5.027185974121093750e+02,-4.786833190917968750e+02,-8.250000000000000000e+02,-6.046133422851562500e+02,-1.000000000000000000e+01,-2.314079093933105469e+01,1.000000000000000000e+00
8.452200000000000000e+04,5.017088317871093750e+02,-4.926166687011718750e+02,-8.250000000000000000e+02,-6.132548217773437500e+02,-1.000000000000000000e+01,-2.245271110534667969e+01,1.000000000000000000e+00
8.452400000000000000e+04,5.006936950683593750e+02,-5.046708374023437500e+02,-8.250000000000000000e+02,-6.215574340820312500e+02,-1.000000000000000000e+01,-2.195627975463867188e+01,1.000000000000000000e+00
8.452600000000000000e+04,4.996533813476562500e+02,-5.197958374023437500e+02,-8.250000000000000000e+02,-6.295344848632812500e+02,-1.000000000000000000e+01,-2.106002616882324219e+01,1.000000000000000000e+00
8.452800000000000000e+04,4.985768127441406250e+02,-5.334083251953125000e+02,-8.250000000000000000e+02,-6.371987915039062500e+02,-1.000000000000000000e+01,-2.031459045410156250e+01,1.000000000000000000e+00
8.453000000000000000e+04,4.974747314453125000e+02,-5.516958618164062500e+02,-8.250000000000000000e+02,-6.445625610351562500e+02,-1.000000000000000000e+01,-1.898049545288085938e+01,1.000000000000000000e+00
8.453200000000000000e+04,4.963162536621093750e+02,-5.647583618164062500e+02,-8.250000000000000000e+02,-6.516375732421875000e+02,-1.000000000000000000e+01,-1.824478721618652344e+01,1.000000000000000000e+00
8.453400000000000000e+04,4.951443481445312500e+02,-5.803875122070312500e+02,-8.250000000000000000e+02,-6.584351806640625000e+02,-1.000000000000000000e+01,-1.717459678649902344e+01,1.000000000000000000e+00
8.453700000000000000e+04,4.939408874511718750e+02,-5.983541259765625000e+02,-8.250000000000000000e+02,-6.649662475585937500e+02,-1.000000000000000000e+01,-1.579937934875488281e+01,1.000000000000000000e+00
8.453800000000000000e+04,4.926998291015625000e+02,-6.161375122070312500e+02,-8.250000000000000000e+02,-6.712412719726562500e+02,-1.000000000000000000e+01,-1.442251014709472656e+01,1.000000000000000000e+00
8.454000000000000000e+04,4.914453430175781250e+02,-6.342874755859375000e+02,-8.250000000000000000e+02,-6.772702026367187500e+02,-1.000000000000000000e+01,-1.297907543182373047e+01,1.000000000000000000e+00
8.454200000000000000e+04,4.901109619140625000e+02,-6.540875244140625000e+02,-8.250000000000000000e+02,-6.830627441406250000e+02,-1.000000000000000000e+01,-1.131659412384033203e+01,1.000000000000000000e+00
8.454400000000000000e+04,4.887624816894531250e+02,-6.710458374023437500e+02,-8.250000000000000000e+02,-6.886281738281250000e+02,-9.973795890808105469e+00,-9.973795890808105469e+00,0.000000000000000000e+00
8.454600000000000000e+04,4.874106445312500000e+02,-6.875000000000000000e+02,-8.250000000000000000e+02,-6.939754028320312500e+02,-8.693836212158203125e+00,-8.693836212158203125e+00,0.000000000000000000e+00
8.454800000000000000e+04,4.858013305664062500e+02,-7.007458496093750000e+02,-8.250000000000000000e+02,-6.991129150390625000e+02,-7.708368301391601562e+00,-7.708368301391601562e+00,0.000000000000000000e+00
