raw_relative_to_target400_s,shifted_relative_s_minus_1s,position_mm,velocity_mm_s,current_A,state,unit_message_code
0.002039194,-0.997960806,100.047027588,-25.804166794,-2.585999966,1,1
0.012327194,-0.987672806,100.199432373,41.158332825,3.790999889,1,1
0.022063017,-0.977936983,100.041992188,-23.145833969,-4.043000221,1,1
0.032358408,-0.967641592,100.218902588,6.233333111,3.773999929,1,1
0.042107344,-0.957892656,100.026885986,0.870833337,-4.020999908,1,1
0.052310228,-0.947689772,100.150085449,-14.070833206,3.908999920,1,1
0.062062263,-0.937937737,100.018493652,24.200000763,-4.162000179,1,1
0.072342634,-0.927657366,100.117523193,-22.458333969,-0.352999985,1,1
0.082178116,-0.917821884,100.177276611,27.729166031,3.740999937,1,1
0.092366934,-0.907633066,99.963439941,-16.591667175,-3.789999962,1,1
0.102029800,-0.897970200,100.079254150,-5.866666794,3.986000061,1,1
0.112413406,-0.887586594,100.048034668,24.704166412,3.423000097,1,1
0.122213364,-0.877786636,99.968139648,-32.862499237,-3.773000002,1,1
0.132290602,-0.867709398,100.180969238,49.545833588,3.634000063,1,1
0.142069101,-0.857930899,100.009429932,-46.291667938,-3.637000084,1,1
0.152295351,-0.847704649,100.224273682,45.191665649,3.632999897,1,1
0.162061691,-0.837938309,100.084960938,-23.329166412,-3.591000080,1,1
0.172283649,-0.827716351,100.221588135,-0.320833325,3.953000069,1,1
0.182109356,-0.817890644,100.131286621,15.812500000,-4.294000149,1,1
0.192344666,-0.807655334,100.204132080,-20.808332443,-0.003000000,1,1
0.202093840,-0.797906160,100.178955078,33.412498474,3.267999887,1,1
0.212430000,-0.787570000,100.084289551,-20.304166794,-3.464999914,1,1
0.222093821,-0.777906179,100.161163330,-17.095832825,3.302999973,1,1
0.232340574,-0.767659426,100.098388672,30.754167557,3.414000034,1,1
0.242073536,-0.757926464,100.067504883,6.737500191,-4.169000149,1,1
0.252378702,-0.747621298,100.027893066,-14.758333206,-3.829999924,1,1
0.262148619,-0.737851381,100.035614014,-25.483333588,-3.440000057,1,1
0.272413254,-0.727586746,100.123565674,13.108333588,3.980000019,1,1
0.282098055,-0.717901945,100.006072998,12.787500381,-4.170000076,1,1
0.292455196,-0.707544804,100.027221680,-34.237499237,-3.381000042,1,1
0.302108765,-0.697891235,100.087646484,27.729166031,3.433000088,1,1
0.312450171,-0.687549829,99.915100098,-17.279167175,-3.740000010,1,1
0.322117329,-0.677882671,100.010772705,-18.287500381,4.098999977,1,1
0.332273722,-0.667726278,100.001373291,36.437500000,3.703999996,1,1
0.342152834,-0.657847166,99.895294189,-27.820833206,-3.601000071,1,1
0.352462769,-0.647537231,100.081604004,10.770833969,3.823999882,1,1
0.362277508,-0.637722492,99.983917236,15.445833206,-4.172999859,1,1
0.372411251,-0.627588749,100.037963867,-30.845832825,-3.426000118,1,1
0.382119894,-0.617880106,100.116851807,32.266666412,3.663000107,1,1
0.392313957,-0.607686043,99.962432861,-12.879166603,-3.783999920,1,1
0.402177572,-0.597822428,100.108795166,-6.875000000,3.877000093,1,1
0.412282944,-0.587717056,100.078918457,30.754167557,3.282000065,1,1
0.422122002,-0.577877998,99.965454102,-25.987499237,-3.726999998,1,1
0.432365894,-0.567634106,100.111145020,8.937500000,3.828000069,1,1
0.442103386,-0.557896614,99.971832275,10.587499619,-4.002999783,1,1
0.452357531,-0.547642469,99.989959717,-28.325000763,-3.617000103,1,1
0.462076426,-0.537923574,100.068847656,30.891666412,3.723000050,1,1
0.472367287,-0.527632713,99.921813965,-16.912500381,-3.846999884,1,1
0.482217073,-0.517782927,100.050384521,-7.195833206,4.171000004,1,1
0.492330074,-0.507669926,100.027557373,34.099998474,3.401999950,1,1
0.502147913,-0.497852087,99.928527832,-33.549999237,-3.756999969,1,1
0.512484312,-0.487515688,100.077239990,10.449999809,3.809999943,1,1
0.522127390,-0.477872610,99.970825195,13.291666985,-3.954999924,1,1
0.532337189,-0.467662811,100.008422852,-26.674999237,-3.457999945,1,1
0.542116165,-0.457883835,100.099731445,30.754167557,3.523999929,1,1
0.552380085,-0.447619915,99.923492432,-20.945833206,-3.898999929,1,1
0.562145472,-0.437854528,100.115509033,9.762499809,3.901999950,1,1
0.572348356,-0.427651644,99.860046387,-7.883333206,-4.117000103,1,1
0.582072735,-0.417927265,100.094360352,-2.658333302,3.933000088,1,1
0.592398643,-0.407601357,99.855010986,-1.466666698,-4.236999989,1,1
0.602118015,-0.397881985,99.928863525,-16.408332825,2.006000042,1,1
0.612448454,-0.387551546,99.960083008,34.604164124,3.364000082,1,1
0.622182608,-0.377817392,99.891937256,-33.870834351,-3.223000050,1,1
0.632417440,-0.367582560,100.055419922,42.304164886,3.756999969,1,1
0.642159462,-0.357840538,99.840911865,-51.012496948,-3.611000061,1,1
0.652447939,-0.347552061,100.002044678,45.833332062,3.770999908,1,1
0.662263393,-0.337736607,99.775115967,-39.920833588,-3.657000065,1,1
0.672360420,-0.327639580,99.981903076,33.916664124,3.776000023,1,1
0.682216406,-0.317783594,99.918121338,8.754166603,-3.956000090,1,1
0.692395210,-0.307604790,99.894958496,-17.095832825,-3.664999962,1,1
0.702280998,-0.297719002,99.941955566,-21.954166412,-1.133999944,1,1
0.712437868,-0.287562132,100.070861816,33.275001526,3.573999882,1,1
0.722126722,-0.277873278,100.001037598,-0.962499976,-4.041999817,1,1
0.732483149,-0.267516851,100.055084229,-25.804166794,-2.405999899,1,1
